time, Quad.Est.E.Yaw
5.064816,0.031483
5.069815,0.030889
5.074815,0.036618
5.079814,0.037900
5.084814,0.043830
5.089814,0.063642
5.094813,0.068013
5.099813,0.072431
5.104813,0.078297
5.109812,0.068735
5.114812,0.075328
5.119812,0.073725
5.124811,0.080209
5.129811,0.082718
5.134810,0.086799
5.139810,0.078050
5.144810,0.081835
5.149809,0.079146
5.154809,0.084435
5.159809,0.088453
5.164808,0.092031
5.169808,0.096834
5.174808,0.097835
5.179807,0.095425
5.184807,0.095472
5.189806,0.086118
5.194806,0.087478
5.199806,0.089770
5.204805,0.093308
5.209805,0.105395
5.214805,0.108422
5.219804,0.104029
5.224804,0.109336
5.229804,0.105687
5.234803,0.105783
5.239803,0.097769
5.244802,0.100360
5.249802,0.086136
5.254802,0.088937
5.259801,0.094347
5.264801,0.098751
5.269801,0.108948
5.274800,0.111529
5.279800,0.118331
5.284800,0.121220
5.289799,0.125983
5.294799,0.124743
5.299798,0.111699
5.304798,0.110547
5.309798,0.101823
5.314797,0.096595
5.319797,0.089675
5.324797,0.089748
5.329796,0.092191
5.334796,0.090965
5.339796,0.077572
5.344795,0.075261
5.349795,0.072048
5.354795,0.070303
5.359794,0.081589
5.364794,0.080496
5.369793,0.070762
5.374793,0.069011
5.379793,0.053805
5.384792,0.053305
5.389792,0.050236
5.394792,0.046243
5.399791,0.047234
5.404791,0.048348
5.409791,0.046172
5.414790,0.041375
5.419790,0.028679
5.424789,0.025650
5.429789,0.026932
5.434789,0.022568
5.439788,0.016918
5.444788,0.014985
5.449788,0.016176
5.454787,0.011716
5.459787,0.008835
5.464787,0.006174
5.469786,0.019727
5.474786,0.017627
5.479785,0.021639
5.484785,0.021045
5.489785,0.010293
5.494784,0.006701
5.499784,0.004942
5.504784,0.006769
5.509783,0.016087
5.514783,0.010768
5.519783,0.002848
5.524782,0.000365
5.529782,-0.006914
5.534781,-0.007730
5.539781,-0.013580
5.544781,-0.012185
5.549780,-0.028824
5.554780,-0.030413
5.559780,-0.037568
5.564779,-0.038421
5.569779,-0.049998
5.574779,-0.050816
5.579778,-0.045428
5.584778,-0.043497
5.589777,-0.044792
5.594777,-0.046087
5.599777,-0.041306
5.604776,-0.039706
5.609776,-0.044939
5.614776,-0.046883
5.619775,-0.054386
5.624775,-0.052743
5.629775,-0.043784
5.634774,-0.043212
5.639774,-0.050369
5.644773,-0.050839
5.649773,-0.057504
5.654773,-0.056096
5.659772,-0.043993
5.664772,-0.045360
5.669772,-0.040130
5.674771,-0.040720
5.679771,-0.044801
5.684771,-0.044797
5.689770,-0.046142
5.694770,-0.045979
5.699769,-0.028065
5.704769,-0.027999
5.709769,-0.020555
5.714768,-0.021923
5.719768,-0.024179
5.724768,-0.023573
5.729767,-0.029284
5.734767,-0.033089
5.739767,-0.029981
5.744766,-0.031849
5.749766,-0.037536
5.754766,-0.036024
5.759765,-0.028149
5.764765,-0.025694
5.769764,-0.026378
5.774764,-0.024528
5.779764,-0.022085
0.005000,0.000017,0.300030
0.010000,0.000035,0.300057
0.015000,0.000069,0.300105
0.020000,0.000088,0.300143
0.025000,0.000132,0.300210
0.030000,0.000148,0.300260
0.035000,0.000167,0.300344
0.040000,0.000184,0.300407
0.045000,0.000210,0.300509
0.050000,0.000233,0.300583
0.055000,0.000268,0.300704
0.060000,0.000294,0.300790
0.065000,0.000337,0.300928
0.070000,0.000370,0.301027
0.075000,0.000466,0.301183
0.080000,0.000552,0.301293
0.085000,0.000698,0.301468
0.090000,0.000816,0.301590
0.095000,0.001018,0.301782
0.100000,0.001160,0.301916
0.105000,0.005335,0.301283
0.110000,0.005625,0.301364
0.115000,0.006087,0.301490
0.120000,0.006419,0.301577
0.125000,0.006926,0.301712
0.130000,0.007275,0.301805
0.135000,0.007827,0.301949
0.140000,0.008203,0.302048
0.145000,0.008788,0.302201
0.150000,0.009185,0.302306
0.155000,0.009775,0.302468
0.160000,0.010168,0.302579
0.165000,0.010776,0.302750
0.170000,0.011181,0.302867
0.175000,0.011754,0.303047
0.180000,0.012136,0.303169
0.185000,0.012745,0.303358
0.190000,0.013149,0.303487
0.195000,0.013747,0.303684
0.200000,0.014155,0.303819
0.205000,0.021917,0.302969
0.210000,0.022404,0.303068
0.215000,0.023146,0.303219
0.220000,0.023652,0.303322
0.225000,0.024434,0.303479
0.230000,0.024972,0.303585
0.235000,0.025774,0.303749
0.240000,0.026323,0.303859
0.245000,0.027138,0.304028
0.250000,0.027671,0.304143
0.255000,0.028507,0.304318
0.260000,0.029072,0.304437
0.265000,0.029861,0.304618
0.270000,0.030383,0.304740
0.275000,0.031146,0.304927
0.280000,0.031674,0.305054
0.285000,0.032469,0.305247
0.290000,0.032994,0.305377
0.295000,0.033820,0.305576
0.300000,0.034362,0.305711
0.305000,0.035366,0.304754
0.310000,0.035900,0.304861
0.314999,0.036705,0.305024
0.319999,0.037249,0.305135
0.324999,0.038064,0.305302
0.329999,0.038611,0.305415
0.334999,0.039417,0.305587
0.339999,0.039955,0.305704
