time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.729985,-0.115443,0.012979,-0.001306
2.734984,nan,0.014459,-0.001362
2.739984,0.051038,0.017739,-0.001415
2.744983,nan,0.016159,-0.001471
2.749983,0.059465,0.020372,-0.001534
2.754983,nan,0.019019,-0.001601
2.759982,-0.080061,0.009367,-0.001672
2.764982,nan,0.009954,-0.001746
2.769982,0.037637,0.012556,-0.001821
2.774981,nan,0.010165,-0.001892
2.779981,-0.096877,0.003189,-0.001954
2.784981,nan,0.002661,-0.002010
2.789980,-0.126757,-0.008685,-0.002058
2.794980,nan,-0.010915,-0.002100
2.799979,-0.180267,-0.022156,-0.002132
2.804979,nan,-0.025216,-0.002154
2.809979,0.201193,-0.009389,-0.002164
2.814978,nan,-0.006472,-0.002168
2.819978,0.014461,-0.003780,-0.002168
2.824978,nan,-0.004970,-0.002164
2.829977,-0.086384,-0.010312,-0.002151
2.834977,nan,-0.008805,-0.002130
2.839977,-0.171666,-0.021520,-0.002107
2.844976,nan,-0.020382,-0.002087
2.849976,0.105942,-0.008255,-0.002067
2.854975,nan,-0.011424,-0.002054
2.859975,0.073185,-0.008765,-0.002050
2.864975,nan,-0.008602,-0.002050
2.869974,0.148299,0.002122,-0.002055
2.874974,nan,0.002163,-0.002069
2.879974,0.077157,0.006822,-0.002089
2.884973,nan,0.008067,-0.002113
2.889973,0.050955,0.009567,-0.002142
2.894973,nan,0.010265,-0.002173
2.899972,-0.153737,-0.000744,-0.002208
2.904972,nan,-0.001924,-0.002246
2.909971,-0.245097,-0.019931,-0.002287
2.914971,nan,-0.021794,-0.002329
2.919971,-0.049399,-0.023684,-0.002370
2.924970,nan,-0.025143,-0.002416
2.929970,0.013697,-0.023395,-0.002465
2.934970,nan,-0.022822,-0.002515
2.939969,-0.004562,-0.021751,-0.002568
2.944969,nan,-0.019588,-0.002623
2.949969,-0.042900,-0.022915,-0.002675
2.954968,nan,-0.024423,-0.002722
2.959968,0.036850,-0.019866,-0.002766
2.964967,nan,-0.020496,-0.002804
2.969967,0.056531,-0.014224,-0.002833
2.974967,nan,-0.010052,-0.002850
2.979966,0.110093,0.000380,-0.002855
2.984966,nan,0.001234,-0.002849
2.989966,0.098476,0.008907,-0.002834
2.994965,nan,0.007344,-0.002815
2.999965,0.265923,0.029955,-0.002796
3.004965,nan,0.030001,-0.002777
3.009964,0.022002,0.029767,-0.002759
3.014964,nan,0.026419,-0.002742
3.019964,0.016101,0.025260,-0.002727
3.024963,nan,0.024875,-0.002714
3.029963,0.031655,0.026106,-0.002700
3.034962,nan,0.024963,-0.002683
3.039962,-0.024962,0.021817,-0.002663
3.044962,nan,0.018572,-0.002640
3.049961,0.116030,0.027000,-0.002611
3.054961,nan,0.024066,-0.002573
3.059961,0.024362,0.022829,-0.002522
3.064960,nan,0.022697,-0.002454
3.069960,0.089640,0.029810,-0.002365
3.074960,nan,0.027833,-0.002255
3.079959,-0.057772,0.020465,-0.002122
3.084959,nan,0.021981,-0.001961
3.089958,-0.089333,0.014458,-0.001771
3.094958,nan,0.014530,-0.001547
3.099958,0.015239,0.015108,-0.001282
3.104957,nan,0.015489,-0.000974
3.109957,0.218999,0.031143,-0.000618
3.114957,nan,0.027002,-0.000210
3.119956,0.065460,0.029297,0.000258
3.124956,nan,0.030810,0.000785
3.129956,0.210458,0.045561,0.001366
3.134955,nan,0.045094,0.002004
3.139955,0.140838,0.056819,0.002702
3.144954,nan,0.053511,0.003459
3.149954,0.086229,0.055972,0.004281
3.154954,nan,0.055023,0.005167
3.159953,0.047717,0.052174,0.006120
3.164953,nan,0.048640,0.007138
3.169953,-0.203114,0.030939,0.008216
3.174952,nan,0.032403,0.009356
3.179952,0.144598,0.039624,0.010561
3.184952,nan,0.044540,0.011837
3.189951,-0.187140,0.027695,0.013191
3.194951,nan,0.028298,0.014622
3.199950,0.005487,0.026413,0.016131
3.204950,nan,0.032127,0.017717
3.209950,0.095433,0.039235,0.019381
3.214949,nan,0.043597,0.021122
3.219949,0.096372,0.046782,0.022940
3.224949,nan,0.049320,0.024836
3.229948,0.024394,0.050234,0.026816
3.234948,nan,0.053815,0.028886
3.239948,0.033220,0.055229,0.031042
3.244947,nan,0.058202,0.033286
3.249947,0.009713,0.056563,0.035626
3.254946,nan,0.058509,0.038067
3.259946,0.102567,0.060542,0.040612
3.264946,nan,0.065995,0.043257
3.269945,-0.027861,0.061437,0.045998
3.274945,nan,0.064722,0.048819
3.279945,0.032111,0.065138,0.051699
3.284944,nan,0.067849,0.054619
3.289944,0.139981,0.077193,0.057558
3.294944,nan,0.079634,0.060495
3.299943,0.148628,0.084886,0.063414
3.304943,nan,0.088853,0.066304
3.309942,0.199537,0.099705,0.069161
3.314942,nan,0.105162,0.071986
3.319942,-0.192772,0.082498,0.074775
3.324941,nan,0.091224,0.077526
3.329941,0.375747,0.112029,0.080250
3.334941,nan,0.116169,0.082953
3.339940,0.021742,0.110392,0.085644
3.344940,nan,0.113315,0.088330
3.349940,0.083998,0.113800,0.091015
3.354939,nan,0.115601,0.093702
3.359939,0.072308,0.112921,0.096394
3.364938,nan,0.116540,0.099092
3.369938,0.198728,0.125011,0.101798
3.374938,nan,0.133737,0.104516
3.379937,-0.006766,0.121640,0.107247
3.384937,nan,0.126171,0.109996
3.389937,0.149375,0.130925,0.112765
3.394936,nan,0.137560,0.115556
3.399936,0.120999,0.137828,0.118378
3.404936,nan,0.142154,0.121233
3.409935,0.267507,0.156294,0.124125
3.414935,nan,0.160837,0.127056
3.419935,0.104000,0.156238,0.130027
3.424934,nan,0.164484,0.133037
3.429934,0.061801,0.157562,0.136093
3.434933,nan,0.158834,0.139198
3.439933,0.023761,0.151374,0.142355
3.444933,nan,0.154686,0.145565
3.449932,0.356516,0.169850,0.148839
3.454932,nan,0.173434,0.152176
3.459932,0.033914,0.162904,0.155579
3.464931,nan,0.168162,0.159049
